index,DateTime,data,time,open,high,low,close,pctchange,name,chinese
0,0,2022/5/20,935,1759.99,1763.66,1752,1756.4,,600519,贵州茅台
1,1,2022/5/20,940,1756.58,1770,1756.51,1768,0.006604418,600519,贵州茅台
2,2,2022/5/20,945,1768,1785,1768,1785,0.009615385,600519,贵州茅台
3,3,2022/5/20,950,1785,1788.88,1783.06,1783.25,-0.000980392,600519,贵州茅台
4,4,2022/5/20,955,1783.08,1790,1783.08,1785,0.000981354,600519,贵州茅台
5,5,2022/5/20,1000,1785,1789.17,1784.94,1784.94,-3.36E-05,600519,贵州茅台
6,6,2022/5/20,1005,1784,1787,1783.2,1785.01,3.92E-05,600519,贵州茅台
7,7,2022/5/20,1010,1785,1785.99,1779,1779,-0.003366928,600519,贵州茅台
8,8,2022/5/20,1015,1778.55,1780.1,1778.55,1778.62,-0.000213603,600519,贵州茅台
9,9,2022/5/20,1020,1778.6,1782.01,1778.33,1781.02,0.001349361,600519,贵州茅台
10,10,2022/5/20,1025,1781.2,1784.06,1781,1781.01,-5.61E-06,600519,贵州茅台
11,11,2022/5/20,1030,1781,1781.01,1779,1780.19,-0.000460413,600519,贵州茅台
12,12,2022/5/20,1035,1780.18,1780.23,1778,1778.01,-0.001224588,600519,贵州茅台
13,13,2022/5/20,1040,1778,1778.01,1772.35,1776,-0.001130477,600519,贵州茅台
14,14,2022/5/20,1045,1776,1776.83,1773.03,1776.14,7.88E-05,600519,贵州茅台
15,15,2022/5/20,1050,1776.14,1779,1776,1778.27,0.00119923,600519,贵州茅台
16,16,2022/5/20,1055,1778,1779.99,1777.77,1778.93,0.000371147,600519,贵州茅台
17,17,2022/5/20,1100,1779,1779,1776.01,1777,-0.001084922,600519,贵州茅台
18,18,2022/5/20,1105,1777.99,1779.98,1777,1778.31,0.000737198,600519,贵州茅台
19,19,2022/5/20,1110,1777.02,1779,1776.02,1776.08,-0.001254,600519,贵州茅台
20,20,2022/5/20,1115,1776.11,1776.11,1771.69,1771.78,-0.002421062,600519,贵州茅台
21,21,2022/5/20,1120,1771.76,1775.14,1771.67,1774.6,0.00159162,600519,贵州茅台
22,22,2022/5/20,1125,1774.59,1775.81,1773,1775.81,0.000681844,600519,贵州茅台
23,23,2022/5/20,1130,1775.89,1777.77,1775,1775.12,-0.000388555,600519,贵州茅台
24,24,2022/5/20,1305,1775.01,1785.01,1775.01,1781.61,0.003656091,600519,贵州茅台
25,25,2022/5/20,1310,1781.61,1786.02,1781.61,1784.15,0.001425677,600519,贵州茅台
26,26,2022/5/20,1315,1784.2,1785,1783.04,1784.59,0.000246616,600519,贵州茅台
27,27,2022/5/20,1320,1784.59,1787,1781.62,1787,0.00135045,600519,贵州茅台
28,28,2022/5/20,1325,1787,1790,1787,1788.88,0.001052043,600519,贵州茅台
29,29,2022/5/20,1330,1788.85,1791,1788.85,1791,0.001185099,600519,贵州茅台
30,30,2022/5/20,1335,1791,1795,1789.99,1790.12,-0.000491346,600519,贵州茅台
31,31,2022/5/20,1340,1790.5,1793,1790.1,1790.92,0.000446897,600519,贵州茅台
32,32,2022/5/20,1345,1791.01,1791.01,1786.6,1790.91,-5.58E-06,600519,贵州茅台
33,33,2022/5/20,1350,1790.91,1793.35,1790.91,1793.35,0.001362436,600519,贵州茅台
34,34,2022/5/20,1355,1793.41,1795,1792.96,1794,0.00036245,600519,贵州茅台
35,35,2022/5/20,1400,1794.05,1794.21,1792.96,1792.96,-0.00057971,600519,贵州茅台
36,36,2022/5/20,1405,1792.9,1793.88,1791.39,1793.88,0.000513118,600519,贵州茅台
37,37,2022/5/20,1410,1793.98,1794.99,1793.58,1794.99,0.00061877,600519,贵州茅台
38,38,2022/5/20,1415,1795,1799.88,1794.99,1799.88,0.002724249,600519,贵州茅台
39,39,2022/5/20,1420,1799.87,1801.15,1799.65,1799.65,-0.000127786,600519,贵州茅台
40,40,2022/5/20,1425,1799.65,1799.79,1796,1799,-0.000361181,600519,贵州茅台
41,41,2022/5/20,1430,1798,1798.9,1797.01,1798,-0.000555864,600519,贵州茅台
42,42,2022/5/20,1435,1797.5,1798.58,1795.68,1797.57,-0.000239155,600519,贵州茅台
43,43,2022/5/20,1440,1797.63,1798.88,1797.55,1798.05,0.000267027,600519,贵州茅台
44,44,2022/5/20,1445,1798.01,1799.77,1798.01,1799.77,0.000956592,600519,贵州茅台
45,45,2022/5/20,1450,1799.51,1799.51,1796.18,1796.5,-0.001816899,600519,贵州茅台
46,46,2022/5/20,1455,1796.2,1796.5,1796,1796.18,-0.000178124,600519,贵州茅台
47,47,2022/5/20,1500,1796.18,1800.01,1796.03,1800.01,0.002132303,600519,贵州茅台
48,48,2022/5/23,935,1800,1803.89,1793,1793.97,-0.003355537,600519,贵州茅台
49,49,2022/5/23,940,1793.52,1795,1788.04,1794.99,0.000568571,600519,贵州茅台
50,50,2022/5/23,945,1795,1795.6,1790,1794,-0.000551535,600519,贵州茅台
51,51,2022/5/23,950,1793,1793,1785,1787.99,-0.003350056,600519,贵州茅台
52,52,2022/5/23,955,1788,1788.9,1785.32,1787.8,-0.000106265,600519,贵州茅台
53,53,2022/5/23,1000,1787.8,1793.55,1786.04,1790.1,0.001286497,600519,贵州茅台
54,54,2022/5/23,1005,1790.1,1791.95,1787.58,1791.5,0.000782079,600519,贵州茅台
55,55,2022/5/23,1010,1790,1790,1783,1786.08,-0.003025398,600519,贵州茅台
56,56,2022/5/23,1015,1786.5,1786.69,1780.9,1782,-0.002284332,600519,贵州茅台
57,57,2022/5/23,1020,1781.75,1782.99,1780,1782,0,600519,贵州茅台
58,58,2022/5/23,1025,1781.99,1782.06,1777.78,1778,-0.002244669,600519,贵州茅台
59,59,2022/5/23,1030,1778,1780,1777,1780,0.001124859,600519,贵州茅台
60,60,2022/5/23,1035,1780,1780,1777,1777.89,-0.001185393,600519,贵州茅台
61,61,2022/5/23,1040,1777.89,1779.98,1776,1776.66,-0.000691831,600519,贵州茅台
62,62,2022/5/23,1045,1776,1778.46,1775.5,1776.65,-5.63E-06,600519,贵州茅台
63,63,2022/5/23,1050,1776.65,1778.02,1772,1774.35,-0.001294571,600519,贵州茅台
64,64,2022/5/23,1055,1774.34,1776,1772.46,1775.23,0.000495956,600519,贵州茅台
65,65,2022/5/23,1100,1775.3,1778.5,1775.3,1778.5,0.001842015,600519,贵州茅台
66,66,2022/5/23,1105,1778.8,1779.99,1777.2,1777.52,-0.000551026,600519,贵州茅台
67,67,2022/5/23,1110,1777.54,1778.59,1772.85,1772.85,-0.002627256,600519,贵州茅台
68,68,2022/5/23,1115,1772.85,1776.3,1772.5,1776.01,0.001782441,600519,贵州茅台
69,69,2022/5/23,1120,1775.99,1776.3,1773.2,1775.92,-5.07E-05,600519,贵州茅台
70,70,2022/5/23,1125,1775.92,1775.92,1773.07,1774,-0.00108113,600519,贵州茅台
